Name,Version,Section,Homepage,Source,Architecture
libip6tc0,1.6.1-2ubuntu2,libs,http://www.netfilter.org/,iptables,amd64
libiptc0,1.6.1-2ubuntu2,libs,http://www.netfilter.org/,iptables,amd64
libirs160,1:9.11.3+dfsg-1ubuntu1.2,libs,https://www.isc.org/downloads/bind/,bind9,amd64
libisc-export169,1:9.11.3+dfsg-1ubuntu1.2,libs,https://www.isc.org/downloads/bind/,bind9,amd64
libisc169,1:9.11.3+dfsg-1ubuntu1.2,libs,https://www.isc.org/downloads/bind/,bind9,amd64
libisccc160,1:9.11.3+dfsg-1ubuntu1.2,libs,https://www.isc.org/downloads/bind/,bind9,amd64
libisccfg160,1:9.11.3+dfsg-1ubuntu1.2,libs,https://www.isc.org/downloads/bind/,bind9,amd64
libisns0,0.97-2build1,libs,https://github.com/open-iscsi/open-isns,open-isns,amd64
libjansson4,2.11-1,libs,http://www.digip.org/jansson/,jansson,amd64
libjson-c3,0.12.1-1.3,libs,https://github.com/json-c/json-c/wiki,json-c,amd64
libk5crypto3,1.16-2build1,libs,http://web.mit.edu/kerberos/,krb5,amd64
libkeyutils1,1.5.9-9.2ubuntu2,libs,http://people.redhat.com/~dhowells/keyutils/,keyutils,amd64
libklibc,2.0.4-9ubuntu2,libs,https://git.kernel.org/cgit/libs/klibc/klibc.git,klibc,amd64
libkmod2,24-1ubuntu3,libs,,kmod,amd64
libkrb5-26-heimdal,7.5.0+dfsg-1,libs,http://www.h5l.org/,heimdal,amd64
libkrb5-3,1.16-2build1,libs,http://web.mit.edu/kerberos/,krb5,amd64
libkrb5support0,1.16-2build1,libs,http://web.mit.edu/kerberos/,krb5,amd64
libksba8,1.3.5-2,libs,http://www.gnupg.org/related_software/libksba/,libksba,amd64
libldap-2.4-2,2.4.45+dfsg-1ubuntu1,libs,http://www.openldap.org/,openldap,amd64
libldap-common,2.4.45+dfsg-1ubuntu1,libs,http://www.openldap.org/,openldap,all
libldb1,2:1.2.3-1,libs,http://ldb.samba.org/,ldb,amd64
liblocale-gettext-perl,1.07-3build2,perl,https://metacpan.org/release/gettext,,amd64
liblua5.2-0,5.2.4-1.1build1,libs,http://www.lua.org,lua5.2,amd64
liblvm2app2.2,2.02.176-4.1ubuntu3,libs,http://sources.redhat.com/lvm2/,lvm2,amd64
liblvm2cmd2.02,2.02.176-4.1ubuntu3,libs,http://sources.redhat.com/lvm2/,lvm2,amd64
liblwres160,1:9.11.3+dfsg-1ubuntu1.2,libs,https://www.isc.org/downloads/bind/,bind9,amd64
liblxc-common,3.0.1-0ubuntu1~18.04.2,admin,https://linuxcontainers.org,lxc,amd64
liblxc1,3.0.1-0ubuntu1~18.04.2,libs,https://linuxcontainers.org,lxc,amd64
liblz4-1,0.0~r131-2ubuntu3,libs,https://github.com/Cyan4973/lz4,lz4,amd64
liblzma5,5.2.2-1.3,libs,http://tukaani.org/xz/,xz-utils,amd64
liblzo2-2,2.08-1.2,libs,http://www.oberhumer.com/opensource/lzo/,lzo2,amd64
libmagic-mgc,1:5.32-2ubuntu0.1,libs,http://www.darwinsys.com/file/,file,amd64
libmagic1,1:5.32-2ubuntu0.1,libs,http://www.darwinsys.com/file/,file,amd64
libmnl0,1.0.4-2,libs,http://netfilter.org/projects/libmnl/,libmnl,amd64
libmount1,2.31.1-0.4ubuntu3.1,libs,,util-linux,amd64
libmpdec2,2.4.2-1ubuntu1,libs,http://www.bytereef.org/mpdecimal/index.html,mpdecimal,amd64
libmpfr6,4.0.1-1,libs,http://www.mpfr.org/,mpfr4,amd64
libmspack0,0.6-3ubuntu0.1,libs,https://www.cabextract.org.uk/libmspack/,libmspack,amd64
libncurses5,6.1-1ubuntu1.18.04,libs,https://invisible-island.net/ncurses/,ncurses,amd64
libncursesw5,6.1-1ubuntu1.18.04,libs,https://invisible-island.net/ncurses/,ncurses,amd64
libnetfilter-conntrack3,1.0.6-2,libs,http://www.netfilter.org/projects/libnetfilter_conntrack/,libnetfilter-conntrack,amd64
libnettle6,3.4-1,libs,http://www.lysator.liu.se/~nisse/nettle/,nettle,amd64
libnewt0.52,0.52.20-1ubuntu1,libs,https://fedorahosted.org/newt/,newt,amd64
libnfnetlink0,1.0.1-3,libs,,libnfnetlink,amd64
libnghttp2-14,1.30.0-1ubuntu1,libs,https://nghttp2.org/,nghttp2,amd64
libnih1,1.0.3-6ubuntu2,libs,https://launchpad.net/libnih,libnih,amd64
libnpth0,1.5-3,libs,https://www.gnupg.org/,npth,amd64
libnss-systemd,237-3ubuntu10.3,admin,https://www.freedesktop.org/wiki/Software/systemd,systemd,amd64
libntfs-3g88,1:2017.3.23-2,libs,http://www.tuxera.com/community/ntfs-3g-advanced/,ntfs-3g,amd64
libnuma1,2.0.11-2.1,libs,http://oss.sgi.com/projects/libnuma/,numactl,amd64
libp11-kit0,0.23.9-2,libs,http://p11-glue.freedesktop.org/p11-kit.html,p11-kit,amd64
libpam-cap,1:2.25-1.2,libs,http://sites.google.com/site/fullycapable/,libcap2,amd64
libpam-modules,1.1.8-3.6ubuntu2,admin,http://www.linux-pam.org/,pam,amd64
libpam-modules-bin,1.1.8-3.6ubuntu2,admin,http://www.linux-pam.org/,pam,amd64
libpam-runtime,1.1.8-3.6ubuntu2,admin,http://www.linux-pam.org/,pam,all
libpam-systemd,237-3ubuntu10.3,admin,https://www.freedesktop.org/wiki/Software/systemd,systemd,amd64
libpam0g,1.1.8-3.6ubuntu2,libs,http://www.linux-pam.org/,pam,amd64
libparted2,3.2-20,libs,http://www.gnu.org/software/parted,parted,amd64
libpcap0.8,1.8.1-6ubuntu1,libs,http://www.tcpdump.org/,libpcap,amd64
libpci3,1:3.5.2-1ubuntu1,libs,http://atrey.karlin.mff.cuni.cz/~mj/pciutils.shtml,pciutils,amd64
libpcre3,2:8.39-9,libs,,pcre3,amd64
libperl5.26,5.26.1-6ubuntu0.2,libs,http://dev.perl.org/perl5/,perl,amd64
libpipeline1,1.5.0-1,libs,http://libpipeline.nongnu.org/,libpipeline,amd64
libplymouth4,0.9.3-1ubuntu7.18.04.1,libs,http://www.freedesktop.org/wiki/Software/Plymouth,plymouth,amd64
libpng16-16,1.6.34-1ubuntu0.18.04.1,libs,http://libpng.org/pub/png/libpng.html,libpng1.6,amd64
libpolkit-agent-1-0,0.105-20ubuntu0.18.04.1,libs,https://www.freedesktop.org/wiki/Software/polkit/,policykit-1,amd64
libpolkit-backend-1-0,0.105-20ubuntu0.18.04.1,libs,https://www.freedesktop.org/wiki/Software/polkit/,policykit-1,amd64
libpolkit-gobject-1-0,0.105-20ubuntu0.18.04.1,libs,https://www.freedesktop.org/wiki/Software/polkit/,policykit-1,amd64
libpopt0,1.16-11,libs,http://rpm5.org/,popt,amd64
libprocps6,2:3.3.12-3ubuntu1.1,libs,https://gitlab.com/procps-ng/procps,procps,amd64
libpsl5,0.19.1-5build1,libs,https://github.com/rockdaboot/libpsl,libpsl,amd64
libpython-stdlib,2.7.15~rc1-1,python,http://www.python.org/,python-defaults,amd64
libpython2.7,2.7.15~rc1-1,libs,,python2.7,amd64
libpython2.7-minimal,2.7.15~rc1-1,python,,python2.7,amd64
libpython2.7-stdlib,2.7.15~rc1-1,python,,python2.7,amd64
libpython3-stdlib,3.6.5-3ubuntu1,python,http://www.python.org/,python3-defaults,amd64
libpython3.6,3.6.6-1~18.04,libs,,python3.6,amd64
libpython3.6-minimal,3.6.6-1~18.04,python,,python3.6,amd64
libpython3.6-stdlib,3.6.6-1~18.04,python,,python3.6,amd64
libreadline5,5.2+dfsg-3build1,libs,,readline5,amd64
libreadline7,7.0-3,libs,,readline,amd64
libroken18-heimdal,7.5.0+dfsg-1,libs,http://www.h5l.org/,heimdal,amd64
librtmp1,2.4+20151223.gitfa8646d.1-1,libs,http://rtmpdump.mplayerhq.hu/,rtmpdump,amd64
libsasl2-2,2.1.27~101-g0780600+dfsg-3ubuntu2,libs,https://www.cyrusimap.org/,cyrus-sasl2,amd64
libsasl2-modules,2.1.27~101-g0780600+dfsg-3ubuntu2,libs,https://www.cyrusimap.org/,cyrus-sasl2,amd64
libsasl2-modules-db,2.1.27~101-g0780600+dfsg-3ubuntu2,libs,https://www.cyrusimap.org/,cyrus-sasl2,amd64
libseccomp2,2.3.1-2.1ubuntu4,libs,https://github.com/seccomp/libseccomp,libseccomp,amd64
libselinux1,2.7-2build2,libs,http://userspace.selinuxproject.org/,libselinux,amd64
libsemanage-common,2.7-2build2,libs,http://userspace.selinuxproject.org/,libsemanage,all
libsemanage1,2.7-2build2,libs,http://userspace.selinuxproject.org/,libsemanage,amd64
libsepol1,2.7-1,libs,http://userspace.selinuxproject.org/,libsepol,amd64
libsigsegv2,2.12-1,libs,http://www.gnu.org/software/libsigsegv/,libsigsegv,amd64
libslang2,2.3.1a-3ubuntu1,libs,http://www.jedsoft.org/slang/,slang2,amd64
libsmartcols1,2.31.1-0.4ubuntu3.1,libs,,util-linux,amd64
libsqlite3-0,3.22.0-1,libs,http://www.sqlite.org/,sqlite3,amd64
libss2,1.44.1-1,libs,http://e2fsprogs.sourceforge.net,e2fsprogs,amd64
libssl1.0.0,1.0.2n-1ubuntu5.1,libs,https://www.openssl.org,openssl1.0,amd64
libssl1.1,1.1.0g-2ubuntu4.1,libs,https://www.openssl.org/,openssl,amd64
libstdc++6,8.2.0-1ubuntu2~18.04,libs,http://gcc.gnu.org/,gcc-8,amd64
